trial,load,p_size
1,2,1021.408566
2,1,951.4348796
3,5,1063.956947
4,4,913.4870766
5,0,602.6868496
6,3,826.219893
7,0,463.8021236
8,4,757.5520926
9,2,732.94294
10,3,590.6491071
11,5,878.7382012
12,1,851.1800785
13,4,772.2361854
14,3,829.3485849
15,0,455.4790366
16,1,587.8026949
17,2,713.0503117
18,5,708.4416586
19,1,707.66423
20,5,787.3698752
21,2,566.9307621
22,3,722.1417112
23,0,540.0611578
24,4,666.9246881
25,2,698.2347418
26,1,652.6697945
27,3,575.6082888
28,0,626.4327094
29,5,572.8626227
30,4,726.1621241
31,5,751.8257576
32,1,727.1855486
33,2,624.94375
34,3,682.8066479
35,4,687.1353517
36,0,635.5361285
37,3,613.6062992
38,4,654.627451
39,1,556.5069102
40,2,645.2146037
41,0,600.5240793
