owner,farm_name,mill,in_country_partner,country_of_origin,altitude_low_meters,altitude_high_meters,altitude_mean_meters,number_of_bags,bag_weight,species,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,category_one_defects,category_two_defects,color,total_cup_points
metad plc,metad plc,metad plc,METAD Agricultural Development plc,Ethiopia,1950,2200,2075,300,60 kg,Arabica,NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,0.12,0,0,Green,90.58
metad plc,metad plc,metad plc,METAD Agricultural Development plc,Ethiopia,1950,2200,2075,300,60 kg,Arabica,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,0.12,0,1,Green,89.92
grounds for health admin,"san marcos barrancas ""san cristobal cuch",NA,Specialty Coffee Association,Guatemala,1600,1800,1700,5,1,Arabica,Bourbon,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,0,0,0,NA,89.75
yidnekachew dabessa,yidnekachew dabessa coffee plantation,wolensu,METAD Agricultural Development plc,Ethiopia,1800,2200,2000,320,60 kg,Arabica,NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,0.11,0,2,Green,89
metad plc,metad plc,metad plc,METAD Agricultural Development plc,Ethiopia,1950,2200,2075,300,60 kg,Arabica,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,0.12,0,2,Green,88.83
ji-ae ahn,NA,NA,Specialty Coffee Institute of Asia,Brazil,NA,NA,NA,100,30 kg,Arabica,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,0.11,0,1,Bluish-Green,88.83
hugo valdivia,NA,hvc,Specialty Coffee Institute of Asia,Peru,NA,NA,NA,100,69 kg,Arabica,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,0.11,0,0,Bluish-Green,88.75
ethiopia commodity exchange,aolme,c.p.w.e,Ethiopia Commodity Exchange,Ethiopia,1570,1700,1635,300,60 kg,Arabica,NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,0.03,0,0,NA,88.67
ethiopia commodity exchange,aolme,c.p.w.e,Ethiopia Commodity Exchange,Ethiopia,1570,1700,1635,300,60 kg,Arabica,NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,0.03,0,0,NA,88.42
diamond enterprise plc,tulla coffee farm,tulla coffee farm,METAD Agricultural Development plc,Ethiopia,1795,1850,1822.5,50,60 kg,Arabica,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,0.1,0,4,Green,88.25
mohammed lalo,fahem coffee plantation,NA,METAD Agricultural Development plc,Ethiopia,1855,1955,1905,300,60 kg,Arabica,NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,0.1,0,1,NA,88.08
cqi q coffee sample representative,el filo,NA,Almacafé,United States,1872,1872,1872,10,1 kg,Arabica,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,0,0,0,NA,87.92
cqi q coffee sample representative,los cedros,NA,Almacafé,United States,1943,1943,1943,10,1 kg,Arabica,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,0,0,0,NA,87.92
